imdb_id,age
tt0120762,kid
tt0120902,teen
tt0118998,teen
tt0120780,adult
tt0118789,adult
tt0120591,teen
tt0122151,adult
tt0122718,teen
tt0138704,adult
tt0129387,adult
tt0019729,na
tt0022958,na
tt0023876,na
tt0026752,na
tt0030993,na
tt0033729,na
tt0035093,na
tt0037884,na
tt0036868,na
tt0039416,na
tt0044672,na
tt0045793,na
tt0047296,na
tt0048356,na
tt0055614,na
tt0057590,na
tt0060665,kid
tt0061811,na
tt0063385,kid
tt0064665,adult
tt0067116,adult
tt0075148,kid
tt0079417,kid
tt0082158,kid
tt0089755,kid
tt0093389,teen
tt0095953,adult
tt0097239,kid
tt0087995,adult
tt0091369,kid
tt0088847,adult
tt0089686,adult
tt0093629,adult
tt0095742,adult
tt0097981,adult
tt0101917,adult
tt0080761,adult
tt0082418,adult
tt0083972,adult
tt0087298,adult
tt0089173,adult
tt0091080,adult
tt0095179,adult
tt0097388,adult
tt0077651,adult
tt0082495,adult
tt0085636,adult
tt0095271,adult
tt0097474,adult
tt0081383,adult
tt0094862,adult
tt0099253,adult
tt0103956,adult
tt0084516,kid
tt0091778,teen
tt0095889,teen
tt0070047,adult
tt0076009,adult
tt0093409,adult
tt0097733,adult
tt0104714,adult
tt0087363,kid
tt0099700,teen
tt0089218,kid
tt0120746,teen
tt0017136,na
tt0096874,kid
tt0099088,kid
tt0069113,kid
tt0034492,na
tt0047478,na
tt0094947,adult
tt0087182,teen
tt0095497,adult
tt0099674,adult
tt0102757,adult
tt0119558,adult
tt0134619,adult
tt0120741,teen
tt0120815,adult
tt0088814,kid
tt0078869,kid
tt0097053,kid
tt0091149,kid
tt0107120,kid
tt0104437,kid
tt0097523,kid
tt0120768,adult
tt0098213,adult
tt0089853,kid
tt0059113,na
tt0096734,kid
tt0090756,adult
tt0061852,na
tt0097757,kid
tt0104868,kid
tt0055254,kid
tt0046183,kid
tt0100477,kid
tt0076618,kid
tt0089908,kid
tt0102803,kid
tt0053285,kid
tt0086336,kid
tt0088161,kid
tt0084827,kid
tt0120694,adult
tt0099697,adult
tt0086066,kid
tt0087469,kid
tt0077869,kid
tt0085407,adult
tt0091499,adult
tt0085382,adult
tt0087050,adult
tt0096787,kid
tt0101272,teen
tt0120631,teen
tt0120832,adult
tt0128214,adult
tt0080388,adult
tt0061184,na
tt0061584,na
tt0078480,kid
tt0084649,kid
tt0083791,kid
tt0090633,kid
tt0089469,kid
tt0088128,kid
tt0080801,kid
tt0118661,teen
tt0120703,adult
tt0063522,adult
tt0088323,kid
tt0100240,kid
tt0119517,adult
tt0120611,adult
tt0094721,kid
tt0040746,kid
tt0074512,kid
tt0068611,adult
tt0065112,kid
tt0061107,kid
tt0058329,kid
tt0051207,na
tt0049470,kid
tt0048750,kid
tt0044079,kid
tt0120577,adult
tt0119346,adult
tt0096446,kid
tt0094226,adult
tt0034248,na
tt0128442,adult
tt0123755,adult
tt0124879,kid
tt0119934,teen
tt0092699,adult
tt0096463,adult
tt0095593,adult
tt0084472,adult
tt0102558,teen
tt0104257,adult
tt0107211,adult
tt0120812,teen
tt0118736,teen
tt0122690,adult
tt0146336,adult
tt0100594,adult
tt0084787,adult
tt0105151,adult
tt0081554,kid
tt0099487,teen
tt0120587,kid
tt0120770,teen
tt0120889,teen
tt0124102,adult
tt0082517,adult
tt0104952,adult
tt0086837,kid
tt0080678,kid
tt0144120,adult
tt0120791,teen
tt0147612,na
tt0120157,adult
tt0118799,teen
tt0100740,adult
tt0120586,adult
tt0120722,adult
tt0120684,adult
tt0133952,adult
tt0120484,teen
tt0127536,adult
tt0130018,adult
tt0119643,teen
tt0089941,adult
tt0091954,adult
tt0120660,adult
tt0134067,kid
tt0120623,kid
tt0140888,adult
tt0069089,na
tt0087344,kid
tt0024216,na
tt0074751,kid
tt0091344,teen
tt0089017,teen
tt0089155,kid
tt0097366,kid
tt0089893,teen
tt0091541,kid
tt0090264,kid
tt0087928,adult
tt0120595,kid
tt0119304,teen
tt0165494,adult
tt0124198,adult
tt0155975,adult
tt0120844,kid
tt0120794,kid
tt0128445,adult
tt0138097,adult
tt0089961,kid
tt0089880,adult
tt0083944,adult
tt0095956,adult
tt0089370,kid
tt0088011,kid
tt0094890,kid
tt0079817,kid
tt0084602,kid
tt0089927,kid
tt0100507,teen
tt0088930,kid
tt0087538,kid
tt0091326,kid
tt0097958,teen
tt0128853,kid
tt0120863,adult
tt0133751,adult
tt0129290,teen
tt0120633,teen
tt0120857,kid
tt0118564,adult
tt0145734,adult
tt0120458,adult
tt0091225,kid
tt0051622,na
tt0091064,adult
tt0090660,teen
tt0072271,adult
tt0092076,na
tt0110978,adult
tt0091605,adult
tt0091738,teen
tt0090555,teen
tt0090863,adult
tt0091187,adult
tt0160862,teen
tt0163984,adult
tt0054167,na
tt0120784,adult
tt0145893,teen
tt0124298,teen
tt0139462,teen
tt0120764,kid
tt0155776,adult
tt0151804,adult
tt0137338,adult
tt0134273,adult
tt0098084,adult
tt0105128,adult
tt0106557,adult
tt0065377,kid
tt0071110,kid
tt0075648,kid
tt0072308,kid
tt0074812,kid
tt0063442,kid
tt0065462,kid
tt0069768,kid
tt0068408,kid
tt0067065,kid
tt0071455,kid
tt0078740,kid
tt0122933,adult
tt0142192,adult
tt0139134,adult
tt0120735,adult
tt0120646,teen
tt0144814,adult
tt0094964,adult
tt0118665,kid
tt0141098,teen
tt0160429,kid
tt0049408,kid
tt0120757,adult
tt0133093,adult
tt0147800,teen
tt0129280,teen
tt0154506,adult
tt0139239,adult
tt0151738,teen
tt0105399,teen
tt0126250,teen
tt0123964,adult
tt0125659,adult
tt0120836,teen
tt0120907,adult
tt0137494,teen
tt0138510,adult
tt0037913,na
tt0087799,teen
tt0099422,kid
tt0120616,teen
tt0118826,adult
tt0138414,na
tt0120915,kid
tt0078346,kid
tt0081573,kid
tt0086393,kid
tt0094074,kid
tt0021814,na
tt0021884,na
tt0073629,adult
tt0084156,kid
tt0046534,kid
tt0125439,teen
tt0139809,adult
tt0164085,adult
tt0145660,teen
tt0120802,adult
tt0120855,kid
tt0144214,adult
tt0122541,teen
tt0130827,adult
tt0142342,teen
tt0119038,teen
tt0099052,teen
tt0120891,teen
tt0163651,adult
tt0158811,kid
tt0185937,adult
tt0120663,adult
tt0139414,adult
tt0161100,adult
tt0087332,kid
tt0097428,kid
tt0157503,teen
tt0171363,teen
tt0162710,adult
tt0149261,adult
tt0132347,teen
tt0163187,kid
tt0054331,teen
tt0056193,na
tt0072684,kid
tt0096378,kid
tt0091129,teen
tt0088939,teen
tt0091613,kid
tt0091530,kid
tt0091419,teen
tt0144168,teen
tt0129167,kid
tt0167404,teen
tt0155267,adult
tt0120620,teen
tt0165710,adult
tt0113965,adult
tt0057449,kid
tt0055304,na
tt0077394,adult
tt0080339,kid
tt0118604,adult
tt0085995,adult
tt0094737,kid
tt0107798,teen
tt0133046,teen
tt0176269,adult
tt0160401,adult
tt0120657,adult
tt0138304,adult
tt0163579,adult
tt0125971,adult
tt0145531,adult
tt0164181,adult
tt0088146,kid
tt0169547,adult
tt0088178,na
tt0181316,teen
tt0080491,na
tt0058182,na
tt0077280,kid
tt0089175,adult
tt0068473,adult
tt0082348,adult
tt0111419,kid
tt0073812,kid
tt0150377,adult
tt0160338,adult
tt0164114,teen
tt0134618,adult
tt0120188,adult
tt0162360,teen
tt0106664,adult
tt0095652,na
tt0079714,adult
tt0086154,adult
tt0156934,adult
tt0171804,adult
tt0165854,adult
tt0086200,adult
tt0100802,adult
tt0091042,teen
tt0086617,kid
tt0068699,adult
tt0061747,na
tt0082979,kid
tt0046126,na
tt0052225,na
tt0085549,adult
tt0061578,na
tt0058150,na
tt0057076,kid
tt0055928,kid
tt0080453,adult
tt0058461,na
tt0119256,adult
tt0104431,kid
tt0094008,adult
tt0017423,na
tt0133117,teen
tt0137523,adult
tt0160916,adult
tt0081633,kid
tt0097123,teen
tt0168501,adult
tt0093870,adult
tt0100502,adult
tt0096438,kid
tt0082398,kid
tt0097742,teen
tt0070328,kid
tt0059800,na
tt0185371,adult
tt0166943,kid
tt0120601,adult
tt0144178,adult
tt0119698,teen
tt0120596,teen
tt0145681,adult
tt0140352,adult
tt0083767,adult
tt0092796,adult
tt0089885,na
tt0097240,adult
tt0106856,adult
tt0018183,na
tt0082817,adult
tt0094012,kid
tt0070608,kid
tt0082484,adult
tt0065988,kid
tt0086465,adult
tt0083254,kid
tt0149691,teen
tt0120655,adult
tt0151137,adult
tt0190641,kid
tt0056197,kid
tt0066473,kid
tt0095675,adult
tt0084855,adult
tt0162661,adult
tt0143145,teen
tt0185125,adult
tt0040522,na
tt0093509,teen
tt0087781,kid
tt0093010,adult
tt0100680,teen
tt0095631,adult
tt0101393,adult
tt0101889,adult
tt0088007,teen
tt0146675,adult
tt0120363,kid
tt0134154,adult
tt0161023,teen
tt0172396,adult
tt0099165,adult
tt0100828,adult
tt0205000,adult
tt0120689,adult
tt0124315,teen
tt0067328,adult
tt0182789,kid
tt0164912,kid
tt0120910,kid
tt0175880,adult
tt0119079,adult
tt0174204,adult
tt0146838,adult
tt0125664,adult
tt0177789,kid
tt0134119,adult
tt0195945,adult
tt0174856,adult
tt0145653,adult
tt0196857,adult
tt0134983,teen
tt0169302,na
tt0070511,adult
tt0097162,adult
tt0083929,adult
tt0094924,teen
tt0106364,kid
tt0102687,adult
tt0141399,adult
tt0104797,teen
tt0105417,kid
tt0108147,kid
tt0104389,adult
tt0106246,adult
tt0105323,adult
tt0105793,teen
tt0104694,kid
tt0105112,adult
tt0103855,adult
tt0104070,teen
tt0104231,teen
tt0105665,adult
tt0103893,teen
tt0104815,adult
tt0103759,na
tt0134084,adult
tt0105414,adult
tt0144117,adult
tt0171356,adult
tt0163978,adult
tt0220099,kid
tt0217107,adult
tt0181984,adult
tt0162983,teen
tt0134847,adult
tt0190138,adult
tt0021749,kid
tt0012349,na
tt0184858,adult
tt0199290,adult
tt0186045,teen
tt0156841,teen
tt0218043,adult
tt0086969,adult
tt0056875,na
tt0183523,kid
tt0142688,adult
tt0078902,kid
tt0091217,kid
tt0094812,adult
tt0072890,adult
tt0069704,kid
tt0102138,adult
tt0092666,teen
tt0093596,kid
tt0046435,na
tt0195685,adult
tt0195714,adult
tt0103074,adult
tt0077975,adult
tt0097216,adult
tt0100168,adult
tt0102175,adult
tt0071402,adult
tt0082250,adult
tt0089003,adult
tt0109578,adult
tt0036775,na
tt0101615,kid
tt0100758,kid
tt0103060,kid
tt0108308,kid
tt0087985,teen
tt0090693,adult
tt0092675,adult
tt0077530,adult
tt0093105,adult
tt0061735,na
tt0165929,adult
tt0202402,teen
tt0127349,adult
tt0027977,kid
tt0057163,na
tt0054997,na
tt0075860,kid
tt0099871,adult
tt0093378,teen
tt0089457,teen
tt0091445,teen
tt0146882,adult
tt0138749,kid
tt0192614,teen
tt0061619,na
tt0102057,kid
tt0077928,adult
tt0100157,adult
tt0104928,adult
tt0089643,teen
tt0074958,adult
tt0093640,adult
tt0075029,kid
tt0165643,adult
tt0186151,teen
tt0217756,teen
tt0122459,kid
tt0160797,adult
tt0077572,kid
tt0082031,kid
tt0086927,adult
tt0093773,adult
tt0102713,adult
tt0144084,adult
tt0171433,teen
tt0166175,adult
tt0074860,adult
tt0080487,adult
tt0176783,adult
tt0199725,teen
tt0141926,teen
tt0159097,adult
tt0104549,adult
tt0158622,kid
tt0198021,teen
tt0189584,adult
tt0154421,adult
tt0106521,adult
tt0172495,adult
tt0188674,adult
tt0071772,kid
tt0185183,teen
tt0210616,teen
tt0171359,adult
tt0089791,kid
tt0130623,kid
tt0215129,adult
tt0080881,adult
tt0119746,adult
tt0120755,teen
tt0184894,teen
tt0015864,na
tt0064757,kid
tt0076752,kid
tt0079574,kid
tt0071807,kid
tt0208003,teen
tt0080365,adult
tt0054953,na
tt0105466,kid
tt0071230,adult
tt0074486,na
tt0059578,adult
tt0099582,adult
tt0084522,adult
tt0086129,adult
tt0089826,adult
tt0100403,adult
tt0093894,adult
tt0088172,kid
tt0094631,adult
tt0079501,adult
tt0082694,adult
tt0089530,teen
tt0092563,adult
tt0091635,adult
tt0087262,adult
tt0094612,adult
tt0187078,teen
tt0182295,kid
tt0067741,adult
tt0071360,kid
tt0077588,adult
tt0070666,adult
tt0043338,na
tt0072226,kid
tt0090728,teen
tt0204175,teen
tt0162650,adult
tt0120913,kid
tt0188030,adult
tt0120630,kid
tt0183505,adult
tt0187393,adult
tt0131704,kid
tt0177971,teen
tt0087727,adult
tt0089604,adult
tt0099800,adult
tt0070679,adult
tt0069257,adult
tt0219854,kid
tt0175142,adult
tt0179116,adult
tt0087277,kid
tt0038499,na
tt0120903,teen
tt0163676,teen
tt0161081,teen
tt0210234,kid
tt0076716,kid
tt0103241,kid
tt0068555,adult
tt0073312,kid
tt0144528,teen
tt0200550,teen
tt0164052,adult
tt0186566,teen
tt0195234,adult
tt0106627,adult
tt0065938,kid
tt0095863,adult
tt0095925,adult
tt0111187,adult
tt0209958,adult
tt0188640,na
tt0095705,teen
tt0102510,teen
tt0046303,na
tt0088206,kid
tt0160009,adult
tt0204946,teen
tt0144964,adult
tt0202677,adult
tt0181875,adult
tt0164212,adult
tt0192731,adult
tt0168629,adult
tt0222850,adult
